cluster,CLM_NBR,CLM_LOSS_DESC
0,19-00585303,A customer complained while getting service from insured_s shop and tried to pick a fight. When that customer left the shop she smashed the entrance door on the way out on purpose and left crack on the Store front glass. Then she ran off from the shop. The insured filed police report
0,85-00320125,"ORDERED SHIPMENT $16,775 NEVER ARRIVED. LOST BY UPS"
3,19-00677413,Coronavirus Business interruption  due to civil authority based on covid-19 pandemic
1,85-00098497,Employee was backing out the customers vehicle and didn't realize that the vehicle was too tall for the door -causing damage to their garage door. Liability damage claim is also being submitted for the customers vehicle
0,19-00138783,**REKEYED FROM OLD CLM#19-00089020**THE INSURED HAD ITEMS STOLEN OUT OF AN COLLEAGUES VEHICLE A LAPTOP BAG WITH A LAPTOP INIT AND THE INSUREDS WALLET AND MISCELLANEOUS CORD ASSOCIATED WITH THE LAPTOP. LENOVO 720LAPTOP WAS THE TYPE OF LAPTOP STOLEN
2,85-00212973,"Per the insured, the fire started last night. Firefighters were on scene. Smoke smell in the area. Nobody was hurt. They are still working on finding the source of the fire. Insured currently waiting for Nipsco to come turn the power on to figure out the problem. Also, the back door was broken down by the fire dept. to get into the store, but it's now been boarded up"
2,15-00801804,Hot water heater ruptured in closet located on 2nd floor of insureds office. Minor paint and carpet damage to insureds office. The water also ran downto the 1st floor (causing minor paint and carpet damage) and basement (causing damage to some supplies of the building owner).
2,85-00260984,"Tenant at 1340 E Route 66 unit 103 had wall art hanging which fell and severed the the line to the toilet. The unit flooded and also caused flooding to unit 101 and 102. The tenant of unit 103 turned in a claim and their carrier USLI for handling. Servpro has cleaned. Unit 101 and 102 turned a contents claim into their carrier, Hartford."
0,15-00683842,"Stolen merchandise, see enclosed report, and also damage to the store, during a smash and grab robbery."
1,19-00440310,Vehicle impacted school building damaging interior and exterior of location.
4,19-00794559,A Power surge damaged 2 dental chairs
0,19-00225775,"Columbia branded goods were shipped from Portland, OR to Fontana CA on 5/9/18. The carrier advised that the freight is unrecoverable. The shipment was worth $122,941.45. Insured is looking for a loss of business sales."
0,19-00598760,Someone threw a rock through the class showroom window.
2,19-00572232,"Pipe Break207 S. Santa Anita St Suite G-16 San Gabriel, CA 91776 (SGASC) - Pipe leak in the suite above our surgery center. Water caused $30k damage to oursurgical supplies. I believe we need to file a claim for this instance."
0,19-00498371,"Customer ran into insured_s building causing damage to door to storage area portion of building.Estimate $1,600."
2,15-00976561,The Maintenance tech removed a faucet and when doing so the rusted valve broke off causing a large water leak and water damage into the office and the neighboring office
0,15-00952007,"BURGLARY - WINCH, CANS OF SPRAYPAINT TAKEN"
0,19-00909366,"STRAY BULLET PUNCTURED FRONT DOOR, TOOK KNOBS OFF STOVE AND DENTED REFRIGERATOR"
2,19-00328401,Tenants home caught fire; resident was inside and perished in the fire.There was also damage sustained to neighboring home
3,19-00656403,CORONAVIRUS - Business interruption due to COVID-19
2,19-00148555,"WATER LEAK THAT HAS DAMAGED THE NETWORK OF THE DENTAL OFFICE. SECURITY SYSTEM, FIREWALL, PHONES, CEILING OF THE OFFICE"
2,85-00227038,Minor fire started on the back porch of unit 7400-3.
2,19-00556792,Bad smoke damage from bad fire one floor underneath insureds office//damages office and contents
2,85-00195274,"*REKEYED TO A NEW CLM# 85-00198866*
injuries resulting from stove fire in an occupied apartment at The Scout, located at 947 Myers Street, Richmond VA 23230"
2,19-00670483,Insured hired contractor to investigate leak in basement; It was determined that section of boiler has cracked
1,19-00771969,INSD had dental equipment when IV was parked outside of the office.Business loss also as implants cannot be performed.
1,85-00312738,"At fault party reversed truck into curb on insured property, knocking it over. See attached Receipt"
0,85-00338495,NI HAS SOME THEFT OF PERSONAL ITEMS AND BUSINESS ITEMS THAT ARE DAMAGED
2,19-00124439,Prop: Water damage due to heavy rains.
2,85-00271949,Yesterday we had a water main break at Somerset Sky Pointe. It was the supply line to the High School. A large area of sidewalk was lifted by the water pressure and has to be replaced to be restored to a safe level walking path.
2,19-00753012,Water damage forklift placing pallet on high rack hit sprinkler head causing water pipe to break and flood the unit. The insured has a large walk in refrigerator and smaller unit adjacent. The water flood both unit causing dirty water to contaminate food product
0,78-00209101,GLASS DAMAGE TO INSUREDS PROPERTY. CLAIMANT OR INDIVIDUAL THROW A CHAIR THROUGH THE FRONT WINDOW.
1,15-00924272,Box truck took down power lines
0,19-00819792,"Burglary - Smashed front door plate glass, forced open cash drawer, stole $200 cash in the cash drawer, removed and stole cash drop safe (empty)"
0,19-00757424,Network was hit by ransomware. All data was bit locked.
0,19-00529782,"**REKEYED TO A NEW CLM#19-00548728**Theft of monies via electronic funds transfer fraud of $16,200"
1,19-00751571,Insured reports that video camera was damaged
1,19-00483627,PATIENT BACKED INTO THE BUILDING CAUSING DAMAGE TO INTERIOR/EXTERIOR
2,19-00784349,Damaged store sign
3,19-00643750,Coronavirus biz interruption for both locations.
4,19-00227567,Insured has had 3 compressors and heat/air unit blow due to bad storms we_ve had recently.
2,19-00680472,FIRE STARTED OUTSIDE.
4,19-00228616,Two 25 T HVAC units suddenly failed. Unknown cause
2,19-00608109,A WATER/SEWER BACKED INSIDE THE WAREHOUSE. HALF OF THE WAREHOUSE HAS WATER DAMAGE.
0,15-00917002,"Rear passenger side window was broken on truck and equipment was stolen 4330.00 not including little things. Concrete salt heal teal and steal 2 kinds , drills, wacky, small table, beds for drill, grinder,."
0,85-00183791,Employee wire transfer fraud
0,19-00591438,IV was stolen in front of a delivery address truck was full of Items to be delivered
2,85-00401793,Toilet back up into another unit below
1,19-00534748,OV drove into front of INSD_s building
2,19-00860845,The tile flooring is popping up and cracking in the customer area.  Insured does not know the cause.  No apparent water damage/leak.
0,15-00838791,Hand Held computer stolen out of work vehicle
0,85-00371760,Product damaged in transit
0,19-00276909,Tools and Materials stolen from jobsite. Attached is the list of the uninstalled material and tools stolen from the insured_s gang box.
1,19-00125190,Unknown intoxicated driver repeatedly ran into insured_s fence after hoursin the early hours of the New Year. Insured gave police the video
4,19-00274339,Chiller condenser was shorted out by lightning
2,85-00094589,"The insured property where the water damage took place is ""39 Russ Street"". Policy number ""OHE7670615"". Water damage in the basement unit of our 39 Russ Street, Hartford, CT property. The carpet flooring was very saturated and required a water clean-up and restoration service. Quotes have been obtained to install proper/updated drainage on the outside of the building and installing a sump pump in the basement. Quotes attached. Awaiting additional quotes for wall repair and carpet replacement."
3,19-00043067,Business income loss due to vehicle break down
3,19-00661376,Loss of BI due to the coronavirus.  Explained to the insured its not a covered loss and insured is prepared to receive a denial letter unless Hanovers position has changed.
2,85-00190741,Insured came back to business after weekend and noticed water on the floors
2,19-00559690,"Water damage to units 300, 200 and M2 when sprinkler set upby son of deceased resident was using microwave. Also damaged meter room. Servpro was called by insd."
2,19-00587350,"insd had sewage back up, several rooms effected. Bio Hazard service has been on scene"
2,19-00591276,Damage to building
3,19-00649480,"Coronavirus, loss of income"
1,19-00586483,"CLAIMANT HIT A CURB WITH HER CAR AND RAN UP ONTO THE PROPERTY, HIT THE BUILDING AND DAMAGED IT, THEN WENT INTO THE PARKING LOT AND HIT ANOTHER VEHICLE."
0,19-00796938,We have a warehouse in Temecula (also covered in my insurance) that we recently moved to a new location in Temecula. After we moved and did a brief inventory we noticed we were missing a lot of one particular item.
1,15-00838851,Customer Truck pulled away while a forklift was being driven onto it. Forklift fell from dock to ground causing damage to the forklift.
4,15-00972780,Power Outage caused food spoilage $1920.45
2,85-00067846,WATER DAMAGE TO PROPERTY. BUILDING HAS ROOF LEAKS. INSURED DID HAVE SOMEONE LOOK AT THE ROOF AND THEY STATED THAT THERE IS WEATHER RELATED DAMAGE TO THE ROOF.
0,15-00999667,Unknown persons vandalize property - broken windows and doors
0,19-00095703,3 Fedex packages were dropped off by our customer at this Fedex drop off facility: http://www.rocketshipandprint.com/ 1 of the packages never arrived here. Fedex claims the 3rd package was never picked up. Several follow up attempts to locate the package have been made with both Fedex and Rocket Ship and Print with no luck.
2,19-00425378,Boiler ran out of water causing it to overheat damaging boiler.
2,19-00823617,Gutters and facia board was damaged and tore off the building.
2,19-00337204,"hail damage to building roof, please contact insured for inspection. Loss date is approximate"
2,19-00523275,"Water damage from unknown source, to gym floor."
3,19-00656399,CORONAVIRUS   Insured for loss of business income and extra expenses under the referenced policy as a result of orders.
1,15-00925241,Vehicle that came off the road and hit the insureds sign causing damage
0,19-00680612,Brake in the business theft and window/ door broken see attached police report and bill to replace door.
4,19-00376160,Power outage around noon. When power came back on- there was a power surge that fried the sensor in the X ray machine. Please contact insd.
3,85-00364368,suspension of operations to make sure the dough the insured was using was tested properly. Extra Expense claim
1,85-00428604,"Insured thinks a car hit hte front of the 808-400 building. The owner of this unit is having a structural engineer inspect this area to determine if the
building is structurally sound. Not much damage inside at all. No car was found and there are no tire tracks. However, in reviewing the damage, we
believe that a car may have been airborne and hit the building. There is no camera footage of this incident, unfortunately. A police report was filed"
2,85-00006898,"Had two complaints from renters of mold (one mold on walls to flooring) (other on vent and furniture).  Had maintenance man out,  janitorial service and HVAC company was sent out too, also sent out and  Green Solutions Professional  Mold company.  Also had Lookout Pest Control company out for nats.  Damage to furniture, wall paper, etc. of renters.   Moisture came thru duct work/vents."
3,19-00796475,"CORONAVIRUS Office space cannot be used safely due to COVID, therefore affecting business operations and revenue."
1,85-00169767,"Client unsatisfied with her tables, and she returned them. vendor issued credit, but I lost my markup. I have attached my invoice for my client as well as what I paid the vendor."
4,19-00525560,Fiber laser break down.
0,85-00202320,Stolen items and door damage
2,19-00867286,HOUSE FIRE HAS DAMAGED INSUREDS CLIENTS PERSONAL ITEMS
2,19-00525314,Insrd discovered a possible mold issue in their front reception desk area
0,19-00643311,Unknown individuals broke into insured location and damaged main safe.
2,19-00401021,water damage in at least 3 rooms on 3 separate floors of the house
4,85-00284967,unit owner (unit A) had no power in unit. electrician discovered main electrical line located underground is damaged
3,19-00660774,"Loss of Income due to mandatory close of facilities by authority.  Loss consists of revenue stream  loss and expense for set up on line training; discounted retail item and shipping costs.  March: $250,000, April: $400,000. We have discounted retail 20% to move items that we normally would not have done. According to our POS, we_ve discounted $4,123.30. Shipping and mailing supplies: $1,958.28 Equipment purchases for streaming: $300.06"
2,19-00498394,"INSD is reporting water damage.  They initially thought it was due to a washing machine that was repaired.  However there has been additional water showing up. Restoration Company came out to see if there is awall damage, floors and shelving."
3,19-00648617,CORONAVIRUS INSD reporting loss of business income due to shutdowns.
0,85-00343135,"Break in that occurred at our Dunkin location yesterday (Monday, March 20th) during the overnight hours. They broke the back door lock and came in. The registers were empty but they took the change money ($200) and deposit for Sunday's business ($406.84). They also ripped off the camera system from the wall and took it with them. This includes all the footage on the hard drive. I have gotten the lock repaired, but I have reached out to get a quote for the camera system"
2,85-00176014,275 Cumberland Bend- Ins'd had water coming out of the ceiling in the adult clinic. Upon arrival it was determined that a HVAC unit condensation line had broken. They called their contractor who came out and had everything cleaned and repaired
0,19-00866660,UNKNOWN PERSONS STOLE CIGARETTE INVENTORY FROM PARKED VEHICLE
2,19-00829447,Wind blew roof off of Bldg 3\Possible Business interruption
2,85-00097845,STORE FLOODED FROM A WATER LINE FROM A MACHINE IN THE SHOP. DAMAGE TO THE FLOORS AND THE WALLS.
0,85-00273589,SOMEONE STOLE NI COMPUTER
1,19-00235229,There was damage done to insured_s vehicle. This is for loss of business
2,85-00282911,"Basement Unit 1N water is dripping down from the balconies aboove, waters coming in from a crack in the window trim. Damaging the walls and floors."
0,15-00731797,Unknown
2,15-00987618,"water coming into building from a neighbor source is unknown, water damage."
0,85-00349050,"Burglary, employees had several items stolen and burglar caused damage to floor."
2,85-00165028,BIB ON OUTSIDE FAUCET CAUSED WATER DAMAGED IN GARDEN UNIT
1,19-00844036,"PARKING, POLE"
0,19-00830796,H and H trying to fix the doors. Vehicle was driving into business to steal cigarettes.  Door and frame left side of the wall damaged.
0,19-00380078,THE WINDOW WAS BROKEN AND ITEMS WERE SEARCHED THROUGH. ITEMS ARE UNKNOWN. THE ALARM PANEL WAS RIPPED OFF THE WALL. THE BIGGEST CONCERN IS THE WINDOW.
3,19-00656011,"BI claim due to coronavirus , insured losing business- Please contact the insrued, Janet Manno. Thank you"
0,19-00154129,Employee was reimbursing herself over a number of years
2,19-00035751,"Water leak at location, Mr. Mahon returned to his store on Monday morning before 9 am and found over and inch of water in his back of his store. The leak was spraying from the celling where the water line which feeds the drinking fountain had sprung a leak spraying upwards causing a fountain effect. There were files and some clothes damaged from the water but Service Master was already on site when I showed up. The estimate their work to be over $5,000 to extract the water and dry.  Mr. Mahon has to take care of the flooring etc."
2,85-00261752,THERE IS A CRACK ON 6 TILES ON THE BUILDING FLOOR. NI DOES NOT KNOW HOW IT HAPPEN.
1,19-00773073,"CAR RAN INTO BUSINESS AND TOOK OUT 2 PLATE GLASS WINDOWS. DRIVER ABANDONED THE VEHICLE A COUPLE OF BLOCKS AWAY. NO INFORMATION ON THE DRIVER OR CAR OWNER AT THIS TIME, A BENCH BUILT INTO THE STRUCTURE WAS ALSO TAKEN OUT."
1,85-00346468,"Unknown vehicle/driver hit front of insured's building and left without reporting damage. See photos, Incident Report and police report info
attached."
2,15-00836880,Water damage coming from underneath the carpet.
1,19-00609521,Insured was involved in an auto accident which caused vehicle to not be operable which resulted in lost wages for insured.
2,19-00597771,Insd was building home on reservation and it was torched. Modular home was being built for Seneca Nation Reservation 8364 Old Route 17 Salamanca NY14779
2,85-00299717,NI STATES THAT SHE HAS BEEN GETTING CORRESPONDENCE FROM CUSTOMERS ABOUT DEFECTIVE ITEMS IN VENDING MACHINES FROM ONE LOCATION. AN UNKNOWN ISSUE IS OCCURRING CAUSING THE ITEMS TO BE DEFECTIVE. SHE STATES THAT SHE HAS NOT BEEN ABLE TO BE ON SITE YET. SHE STATES THAT SHE HAS A CHILD THAT TESTED POSITIVE FOR FLU. THESE MACHINES ARE NOT SUPPOSED TO BE CLIMATE CONTROLLED. THIS ISSUE IS HAPPENING ONLY AT ONE LOCATION LASH EXTENSIONS ARE
4,15-00820211,AIR CONDITIONING CONDENSER WAS DAMAGED.
3,19-00648079,"""CORONAVIRUS, Business income loss due to coronavirus."
0,85-00259696,"Warehouse was broken into on 10/31/22. Location 3637 E Roanoke Ave, Suite 5, Phoenix, AZ 85009. List of stolen property is included."
1,19-00162930,VEHICLE BACKED INTO PUMPS 11 AND 12 AT THE GAS STATION
3,19-00322880,Insured has to shut business down 10/29 until possibly 11/1 due to a collapsed pipe that needs to be repaired
2,19-00848257,Hot water tank leaked and damaged the carpet and drywall in tenants unit.  Insured would like to include the hot water heater in the claim.
3,19-00655601,Loss Of business income due to covid-19
3,19-00646821,CORONAVIRUS - shut down 03/21/20.
2,19-00324208,Insured had water damage from water that came into his unit from the neighboring unit on 10/05/2017. Carpeting was damaged
4,19-00843155,"Claim Call from Prem that he purchased a piece of equipment for use in his lab last October and left the ink in it which apparently damaged something metal inside the equipment and now metal flakes come out of it with his ink and they will jam up his ink heads so it isn_t going to work anymore for what it was intended for. He contacted the manufacturer and they said it would be cheaper to purchase a new one that would not have this problem than to fix his which is about $15,000."
2,19-00838766,"Toilet backed up and  he has caused damage to the conference room, carpeting."
2,15-00904435,Hail to roof
0,85-00376852,"Break-in, broke the glass door."
2,19-00742588,Earthquake of 3.1 magnitude cause upstairs office has a crack in the wall about over 12 inches and insured_s are going to the building tomorrow to look over the rest of the building
0,19-00671127,"Computer and Transfer Fraud, Please see attached police report.Occurrences in February and April."
0,19-00570159,Break in- unknown broke into insured_s building and damaged lock and stole some frames.
4,19-00843732,DUE TO A LIGHTING STRIKE ON THE PROPERTY 2 GOLD BOXES SUSTAINED DAMAGES AND THE GAS PUMPS AND CREDIT CARD MACHINES DO NOT WORK. BUSINESS IS AT A LOSS.
3,19-00807377,Business income loss due to civil authority and loss of utilities to premises.
2,85-00299026,pipes burst in cold weather
1,85-00151171,"Damaged a model fire truck that a customer had purchased from a local auction. Unfortunately, the piece rolled off the packing bench as we were packing it. I have attached some pictures of the damaged item along with a copy of the invoice. The damaged item is lot #113 for which the customer paid $1,500 plus a buyer's premium of $270, and MA sales tax of $110.62, for a total of $1,880.62. I shopped around for someone who could repair the piece but was unable to find anyone."
0,19-00344100,INSURED TOOK POSSESSION OF A CLIENTS PAINTING IN PREP TO INSTALL AND IT DISAPPEARED
0,85-00164763,"Items stolen from vehicle
Items of Loss:  Laptop, Airpods, Ipad 
Vehicle:  2016 Kia Soul"
2,19-00141820,WATER PIPE BROKE IN BATH ROOM UPSTAIRS AND GOING DOWN TO STORAGE CAUSING WATER DAMAGE TO WALLS FLOORING AND MERCHANDISE
4,19-00370179,Possible equipment breakdown claim. computer malfunction.
0,85-00358258,The double pane window on the side of the building was shattered.
2,85-00420943,"Insured discovered mold growth in their Upper School buildings. Mold growth is observed on upholstered chairs etc. Safer Homes Environmental
Services recommended ""remediation and mold protocol""."
2,15-00923700,Mold damage to bathroom and bedroom
0,19-00714044,Data Breach. Blackbaud notfied ins on 7/22/20 of a security incident that happened in May in which a backup of Raisers Edge software/database productwas part of an attempted ransomware attack.
1,19-00380361,"insured borrowed a wood chipper from Jerry Southers of Piedmont Landscape Management to do a job. On the way to the job Mario was forced to stopabruptly and the wood chipper went off the road and flipped over on its side. No police were called as another contractor near by took a skid steer andflipped it back on its side. The tongue is bent, the chute is bent, the frame is bent, and the tank or engine must be cracked as fuel is leaking out of it. Thechipper is on site at 2475 Wire Bridge Rd, Arnoldsville GA 30619**insured is Hispanic and does not speak very good English**"
2,19-00764746,"INSUREDS AGENT ADVISED THAT BUSINESS CAUGHT ON FIRE BUT IS NOT EXACTLY SURE HOW OR WHERE IT STARTED, FIRE DEPARTMENT STILL INVESTIGATED"
4,19-00528292,Power Loss/surge caused compressor to burn out
0,19-00289134,Theft - Broken glass for entry $388.00 in cash
0,19-00745144,"THE BUSINESS WAS BROKEN INTO. LOCKS ON THE DOOR WERE BROKEN. CASH STOLEN WAS 1231.00 THE OWNER WILL NEED TO PURCHASE A NEW REGISTER, WHICH WAS DAMAGED AS THEY STOLE THE MONEY."
2,19-00016216,"Rushville was hit hard with several inches of rain and storms on Tuesday July 11, 2017. They received damage to the interior and post roof?"
0,85-00392109,"Jane Hoyet discovered 2 windows broken out in building, someone threw a rock through the windows. Double Pained. Ins has one estimate for
$1700, is checking pricing with a couple other places"
4,15-00875851,Spoilage due to loss of refridgeration
1,19-00136397,IMAC was damaged
0,19-00585266,"INSUREDS PROPERTY WAS BURGLARIZED RESULTING IN A LOSS OF AN AIR COMPRESSOR , CORDLESS SAW, AND MORE ITEMS THAT WERE STORED IN AN APARTMENT UNIT AWAITING ATTENTION."
0,19-00375236,"A now ex-employee stole over $21,000 in cash from the insured. She had authority to take cash from the register to restock their ATM machine. Theincidents are recorded over several months on their surveillance footage. She has already been charged and arrested."
3,19-00665849,"CORONAVIRUS - loss of business or business interruption or civil code.  Insured had to close due to virus.  Not sure which coverage applies, but is asking about coverage."
2,85-00194648,"Insured discovered today that the basement where they store their showroom samples was flooded due to
heavy rain over the weekend and 70% of the samples are damaged beyond repair. Their manager is still
compling the list of damaged items."
1,15-00788559,Someone ran into a gas pump. there is extensive damage to the pump. Diesel pump is not operable.
4,19-00282655,Computer system was attacked on the evening of Thursday 8/2/2018 and the system was down until 08/14/2018
2,15-00857079,Insured has an inch of water from the toilet overflowing.
2,19-00429887,"INSD reporting hail damage to shingles, siding and gutters. Also ice damming created water damage to interior of building_s ceiling and drywall."
2,19-00647933,Busted water line caused damage to flooring.
2,19-00242616,Insured was replacing the carpet tile when he notice the moisture underneath. The insured has report of the level of moisture for the 3 offices.
2,15-00746227,Water pipe burst in the suite above insured_s office causing a fair amount of damage. The insured took photos and are cleaning the major surface making way for the disaster crews. Building management and a plumber are on site. Water has crept throughout the central portion of the suite. (photos are attached).
1,19-00866375,Client damaged employees personal car. * Claimant - * Please call claimant at 217-620-6299
1,85-00372819,Insured's employee was picking up a purchased food truck. The food truck had equipment failure and required a tow. The truck is being worked on and insured has lost multiple scheduled events. Seeking loss of business income as well as equipment breakdown. Please note that this insured is part of our food truck insurance program with Hanover.
2,19-00469097,"Insured_s art galley sustained a floor due to a salon next door whose pipes burst. Water in basement; already lost approx. $40k in artwork. Mitigation efforts are already underway. Please contact insured_s attorney, Martin Tomassian, 508-627-3334, email mvt@mvtomassianlaw.com"
2,85-00009019,LEAK IN THE WALL FROM A PIPE AND THE BUSINESS MAY HAVE TO PULL OUT THE COUNTERTOPS AND COULD DISCOVER MOLD. FLOORING MAY BE AFFECTED.
3,19-00651677,CORONAVIRUS Business interruption due to COVID-19 Government Mandate of Non-Essential Businesses being ordered to close. This affects both locations in Ashburn and South Riding.
0,85-00054937,"Glass window measuring 58"" x 98"" broken, spider marks across entire pane of glass on the outside."
0,19-00250653,VANDALISM TO AIR CONDITIONING SYSTEM FOR BUILDING AND DAMAGE TO ADJOINING WALL.
2,85-00070437,"1708-D Northfield Sq. - Barbara Mete 847-807-9399. The back gate was knocked down by the wind. Advised owner this is her responsibility but her insurance claims it is the association's responsibility insured contact is MIKI SUBOTIC Msubotic@bcmltd.com braeside community management ltd. 790 Estate Drive Suite: 100Deerfield, IL 60015 direct line: 847-504-8018 main line: 847-504-8000 FAX LINE: 847-504-8040"
3,19-00647483,CORNOAVIRUS    Business Income loss due to the government shut down of business. Insured makes product for restaurants and bars who are now closed because of the shut down
1,19-00792064,Co-worker was attempting to park her vehicle and somehow drove into the front of the building
4,19-00227822,Server down/exact date and time unknown /8 hard drives broken apart it is believe that someone physically damaged server over the weekend. Call Bryan P @ 608-643-2278-105
0,15-00985691,Colby Shumate (TM) was robbed on delivery
3,19-00646771,COVID-19 CLAIM CORONAVIRUS - Tasting room was closed and production slowed due to state ordered closure.
2,85-00145626,"PROP/Due to a leaking valve, water damage in finished basement; water under cabinets and carpet."
0,19-00738792,Break in- Tools stolen. Insured has a list that can be forwarded to the adjuster.
3,19-00663085,CORONAVIRUS  Business interruption due to shutdown.
0,19-00574330,A request was received to be employee to change the direct deposit. This was fraudulent and information was immediately updated
2,19-00425971,Fire
4,19-00543811,Storm cased damage to 600 amp exterior breaker.  A/C is not working properly and students had to be dismissed from that location.
4,15-00898667,"Insured had power outage and believes power surge damaged his freezer, ipad and point of sale system, a hood fan and other items used in the business. Please contact Derek as soon as possible at 262-689-8850 (cell phone)"
3,19-00646980,*CORONAVIRUS* - business interruption - insured had to shut down due to government shutting them down.
0,19-00889598,Embezzlement by employee
0,19-00837211,Insured report a break in into their building knocked out a window and cut 2 holes in the wall going into the pharmacy. Was reported to the Smithville police dept. Pictures attached
2,15-00756352,Flexible hose from wall that feeds toilet on 2nd floor has broken free; 80% of the bldg affected per Insd and Servpro.
4,85-00380677,Pieces of white plastic were found in cheese shredder that was used for making frozen pizza.
2,19-00776842,Water intrusion in Unit 512.
0,19-00647698,Cyber - Data breach - ransom malware
4,15-00916465,REAPER TRAILER/REFRIGERATED TRAILER FROZE ALL FLOWERS. ABOUT 7000-8000 WORTH OF PRODUCT
4,19-00181206,Power Outage---source of outage was offsite. Cause of outage unknown
1,19-00893496,INSD rented a stump grinder and it got damaged in the process of using it.
2,19-00938336,Water main break
0,19-00615464,Unknown broke out front window of business
0,19-00616771,"Broken glass of case, took cash, and took safe."
0,85-00346285,Theft occurred after power outage no list of known items.
4,15-00987433,"As written on Acord: Beer shank parts manufactured to the wrong size. Had to take parts back and credit the customer, Perlick Corp. in the amt: $6,135.92. NOTE: See also 15-00977004."
4,85-00186943,HVAC unit malfunctioned
2,85-00432984,27 Mattress were damaged due to a broken pipe in the basement..
3,19-00648034,CORONAVIRUS - Loss of income due to government mandate shut down
0,19-00871890,Broken store front window of our insured at 1235 Bridge Street Lowell MA 01850
2,19-00631175,Rain Leaked through the windows and came into the shop. Insured Contacted the Eastern Columbia Building in regard to the situation and they sent technicians to take a look at the damage. The techs recommended the shop be shut down for one week fans and humidifiers reunning. They will be back to see if this working.
1,19-00544966,Scheduled IM unit Bil-Jax 43_ Bucket lift wiring/computer damaged by some kind of animal while working on job. Unit not operating. Will need reimbursement for unit he has to rent as a temporary substitute.
0,19-00437753,"Laptops, ipads and small electronics as well as smaller personal items"
2,19-00714763,"Rochester High School= Roof leak has damaged the gym floor Estimate $11,000 Contact Theresa Kimble on her cell 586-744-9843 ASAP"
2,19-00614232,sprinkler system on the top floor of Skyview Plaza is frozen and not functioning. We are not sure how long it has been frozen; we just discovered the problem yesterday. We are getting bids to repair it
0,19-00769779,"WINDOW BROKEN TO GAIN ACCESS TO FACILITY, NUMEROUS TOOLS AND EQUIPMENT PIECES STOLEN, SPECIAL SCANNER STOLEN"
2,19-00120920,DISCOVERED IN SPRING OF 2017. NOTICED WATER POOLING IN A GRASSY AREA ON THE PROPERTY. TOWN OF WALLKILL MADE REPAIRS.
0,19-00030045,Someone shot guns at the building. Window was shattered. Bullets went through the interior of the office building.
0,19-00741469,"Kasia Cryan - insureds office manager had wallet stolen out of her purse. Co-employee reported a stranger in office that exited back door of office. Police investigated and reviewed area video footage but were not able to locate alleged thief. Employee reported money and property in excess of $30,000 in wallet that was stolen"
0,19-00100485,VANDALIZED FRONT DOOR STOLE REGISTER WITH CASH IN IT AND SHOES AND PERFUME
2,85-00038007,"91 N. Saginaw St, Pontiac, MI - Fire"
2,85-00365463,"The Break Water Point was damage by the ice and wind and may need to be fix/ replace see the photos. This was notice last month but a clear view was
identified today."
4,19-00249977,There was a power outage from 9:15pm to Sunday 12:30pm leading to food spoilage and loss of businessincome.
1,85-00074156,"There was a hit and run accident that damaged the decorative wall, stop sign and Mama Louise1/2s patio. The accident report is AC22-440."
3,19-00643104,Loss of income due to COVID-19.
4,19-00201626,Company TV broke.
3,19-00651431,**CORONAVIRUS** LOSS OF INCOME
1,85-00234026,"CPP- The insureds premises was struck by a motor vehicle. Damage to windows, a retaining wall and gas line, which sparked a fire outside."
2,15-00872865,SOMEONE ON THE FLOOR ABOVE THE INSUREDS LEFT THE TOILET RUNNING CAUSING WATER DAMAGE TO THE INSUREDS FLOOR
2,19-00616030,Water damage to exterior of building
2,19-00352555,"Yesterday around 3:30 a Genesis student broke a sprinkler head on the Genesis side. Heavy waterflow came out of the sprinkler head for a good 15 minutes, before we could get the sprinkler system shut off. Fire alarm went off as well. We had about 8 people sweeping water out of the building. Water went clear down the hall to the Genesis front door and water went under doors into classrooms and library(some of the areas are carpeted). I called the sprinkler company out to replace the broken sprinkler head, to reset the sprinkler system and restore the fire panel yesterday early evening. Genesis called a professional clean up company that extracts the water out of the carpets. They brought fans and dehumidifiers out to remove all water and moisture from carpet, floors, and sheetrock. Things are under control now. Genesis decided to call off school for today, so clean up company can get their work done."
4,15-00891334,"The operator said that it was running fine until the last board right before lunch. The board cleared the machine and the machine just shut down on its own. After lunch they could not get it running again. The incident occurred on 8/8/16 . What fixed is up for debate, lots of people worked on the problem behind the scenes, from the tech that came here, to the techs in Grand Rapids MI., to 1 or 2 guys from Homag, in Germany. Between Software updates from Germany, and a couple of parts replaced by me and the Tech, it started working"
0,19-00045432,Employee_s van broken into and tools stolen. Police report and list of tools attached.
4,19-00419312,"Batch was lost due to equipment malfunction on February 20, 2019. Our loss on this occurrence totals $11,958.83. This amount is a sum of $764.25 in raw materials, $1,250 in service costs to repair equipment and $9,944.58 in retail value. Attached is an excel file detailing my calculations of retail value based on actual sales and channel data for this same beer in 2018. Also attached are documentation on the raw materials cost and cost for equipment repair service."
0,19-00867726,mirror fell off wall and broke
0,15-00999308,"Store broken into through back door; cash and stock (cigarettes, liquor, etc) stolen"
2,19-00309934,They had another back up in the basement. Plumber is going out to check things out
2,19-00931011,"Insured contractor's plumber failed to tighten a water line correctly which lead to massive flooding of their space and of Panera Bread below us this Saturday. The plumber said his insurance would cover the repairs, but now they are saying we need to initiate the claim through our insurance first."
1,85-00147465,A vehicle struck building damaging exterior brick and interior wall cracked. See attached photos
